word1, word2, weight
assemble, line, 2
throat, job, 1
break, spring, 2
destroy, break, 5
daytime, light, 8
molder, cake, 1
sore, rough, 1
pitiful, loser, 2
cauliflower, cheese, 14
chorus, line, 37
user, loser, 8
line, runner, 2
doily, day, 1
wimp, loser, 4
whisk, cake, 4
cheese, curls, 1
teapot, party, 1
invasive, cheese, 1
blinds, light, 5
pancakes, cake, 2
hearted, light, 11
political, governmant, 1
spot, dalmatian, 1
hurray, party, 3
nacho, cheese, 98
chees, cheese, 33
limitless, cheese, 1
letter, day, 1
sabre, light, 19
interlude, break, 10
shed, light, 7
light, stop, 1
slight, light, 2
whatever, loser, 4
socialist, party, 16
hefty, light, 2
draft, cheese, 1
playa, loser, 2
whopper, cheese, 2
aching, sore, 12
limit, break, 6
couture, cheese, 1
bakes, cake, 24
gato, cake, 2
another, day, 12
cake, batter, 3
upsidedown, cake, 16
cooker, cake, 2
pagemaker, loser, 1
biggest, loser, 28
deliver, cheese, 1
fantastic, day, 1
winning, loser, 2
pimples, spot, 7
molds, break, 1
velvet, cake, 13
cot, cottage, 2
brulee, cheese, 2
frontier, line, 1
octupus, party, 1
shutup, loser, 1
owie, sore, 2
underdog, loser, 12
cake, wheels, 1
beads, party, 1
grotesque, cheese, 2
mono, loser, 1
jh, cheese, 1
suprise, vomit, 1
convention, party, 1
political, incorrect, 1
sweet, cake, 3
crushed, dream, 1
strain, break, 1
throat, inert, 1
blisters, sore, 12
chucker, cheese, 1
light, fire, 2
stutter, loser, 1
wedding, party, 1
smile, cheese, 2
vole, cheese, 1
gordon, cheese, 1
fathers, day, 22
trampoline, day, 1
santiago, cheese, 1
conquest, loser, 1
domino, day, 5
repartee, cheese, 1
childhood, dream, 6
independant, day, 4
pretzels, cheese, 3
throat, hole, 2
wannabe, loser, 4
ambition, dream, 7
glowing, light, 21
contour, line, 7
races, day, 2
bumpkin, cake, 1
dancing, break, 1
trend, line, 4
cheesecake, cheese, 5
lighting, light, 4
cake, maker, 1
johnny, cake, 2
sweetness, light, 10
photograph, cheese, 2
throat, ripper, 1
makeout, party, 2
macaroni, cheese, 107
deeply, throat, 1
accountant, loser, 1
infamous, loser, 2
squeeze, cheese, 1
pattie, cake, 26
fairy, cake, 3
dreadful, day, 7
infamy, day, 4
geo, political, 8
afterward, party, 2
vase, break, 6
spinich, cake, 1
cheese, toast, 1
ow, sore, 2
spot, blood, 1
beefy, cake, 3
catcher, dream, 8
disobey, break, 1
gainer, loser, 22
hunting, party, 2
kraft, cheese, 63
scribe, light, 5
thompson, cheese, 1
swizzle, swiss, 1
imagined, dream, 13
works, dream, 3
mothers, day, 21
poofs, cheese, 2
mist, light, 1
disassemble, break, 6
point, line, 4
crappy, day, 26
stopped, light, 2
cheese, sam, 1
bush, party, 1
whizz, cheese, 10
chex, party, 1
lime, line, 1
cottage, woods, 6
coors, light, 64
revenue, cheese, 1
shipment, cheese, 1
tunes, cheese, 1
cowboy, cheese, 1
misfortune, cheese, 1
butler, cheese, 1
sharon, cheese, 1
mush, cheese, 1
uninstall, cheese, 1
wearing, cheese, 1
